country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Rwanda,2016,uniqueid_7825,Rural,Yes,7,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1666,Rural,Yes,2,20,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_737,Urban,No,1,68,Female,Head of Household,Widowed,No formal education,Self employed
Uganda,2018,uniqueid_1680,Urban,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_223,Rural,Yes,10,42,Female,Spouse,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_4995,Urban,No,1,78,Male,Head of Household,Widowed,Primary education,Self employed
Uganda,2018,uniqueid_2071,Rural,Yes,7,37,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1717,Urban,No,2,19,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3041,Urban,No,3,55,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_6034,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_2106,Urban,No,2,79,Male,Head of Household,Single/Never Married,No formal education,Self employed
Uganda,2018,uniqueid_1220,Urban,No,7,18,Male,Other relative,Single/Never Married,Primary education,No Income
Uganda,2018,uniqueid_1764,Rural,Yes,8,30,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_134,Rural,Yes,4,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_5198,Urban,No,7,17,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_7362,Rural,Yes,3,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_237,Urban,No,1,79,Female,Head of Household,Widowed,Primary education,Other Income
Tanzania,2017,uniqueid_3408,Urban,Yes,1,37,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1933,Rural,Yes,2,48,Female,Spouse,Single/Never Married,No formal education,No Income
Kenya,2018,uniqueid_2066,Urban,Yes,4,68,Male,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_5156,Urban,No,1,46,Male,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_1725,Urban,Yes,2,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_4677,Urban,Yes,8,36,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_3483,Rural,Yes,4,55,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_1627,Rural,Yes,2,46,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1150,Urban,Yes,3,24,Male,Head of Household,Married/Living together,Secondary education,Self employed
Uganda,2018,uniqueid_206,Rural,Yes,3,19,Female,Spouse,Married/Living together,Primary education,No Income
Uganda,2018,uniqueid_2007,Urban,Yes,13,19,Male,Parent,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_8177,Rural,Yes,7,18,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1051,Urban,No,1,65,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_6692,Rural,Yes,3,51,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2567,Urban,No,2,64,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_4147,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_2034,Urban,No,3,30,Male,Child,Divorced/Seperated,Primary education,Informally employed
Uganda,2018,uniqueid_788,Rural,Yes,2,26,Male,Head of Household,Married/Living together,Primary education,No Income
Rwanda,2016,uniqueid_8252,Rural,Yes,3,54,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1490,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2468,Rural,Yes,4,44,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3468,Rural,Yes,6,41,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2010,Rural,Yes,2,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_1712,Urban,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_3941,Rural,Yes,3,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_110,Rural,Yes,1,28,Male,Head of Household,Single/Never Married,Primary education,Other Income
Tanzania,2017,uniqueid_3511,Urban,Yes,4,20,Female,Other relative,Divorced/Seperated,No formal education,Informally employed
